SL,YEAR,Term Name,Course Id,Title,Credit,
1,1st,Summer,AQC 101,Principles of Aquaculture,3,
2,1st,Summer,FBE 101,Fisheries Zoology,4,
3,1st,Summer,FMG 101,Freshwater Ecology,3,
4,1st,Summer,GEU 101,Communicative English,2,
5,1st,Autumn,AQC 131,Freshwater Aquaculture,4,
6,1st,Autumn,FMG 131,Estuarine and Marine Ecology,3,
7,1st,Autumn,FBE 131,Fisheries Biodiversity,3,
8,1st,Autumn,CST 131,ICT in Fisheries,3,
9,1st,winter,FMG 161,Limnology,4,
10,1st,winter,FBE 161,Ichthyology,4,
11,1st,winter,GFB 161,Fundamentals of Cell Biology,3,
12,1st,winter,FIT 161,Fishing Technology,4,
13,1st,winter,GEU 161,History of the Rise of Bangladesh,2,
14,2nd,Summer,FMG 215,Planktology,3,
15,2nd,Summer,FBE 211,Fisheries Systematics,3,
16,2nd,Summer,FIT 204,Fundamentals of Fish Microbiology,3,
17,2nd,Summer,STT 201,Basic Statistics,4,
18,2nd,Summer,BMB 201,Chemistry of Biomolecules,3,
19,2nd,Autumn,AQC 238,Ornamental Fish Culture,3,
20,2nd,Autumn,FBE 235,Fundamentals of Fish Physiology,4,
21,2nd,Autumn,FIT 235,Fish Handling and Preservation,4,
22,2nd,Autumn,AEC 231,Fisheries Economics,3,
23,2nd,Autumn,FMG 240,Fish Parasitology,4,
24,2nd,Winter,FBE 262,Biology of Farmed Fishes,4,
25,2nd,Winter,FMG 270,Fish Pathology,4,
26,2nd,Winter,BMB 261,Metabolism of Biomolecules in Aquatic Animals,3,
27,2nd,Winter,AQC 265,Coastal Aquaculture and Mariculture,4,
28,2nd,Winter,GFB 268,Principles of Genetics,4,
29,3rd,Summer,AQC 305,Fundamentals of Fish Nutrition,4,
30,3rd,Summer,FBE 325,Fish Reproductive Physiology,4,
31,3rd,Summer,FIT 307,Fish Processing Technology,4,
32,3rd,Summer,GFB 318,Hatchery and Nursery Management of Fin Fish,4,
33,3rd,Summer,GFB 326,Fish Breeding,4,
34,3rd,Autumn,GFB 335,Hatchery and Nursery Management of Shellfish,4,
35,3rd,Autumn,FIT 338,Microbiology of Fishery Products,4,
36,3rd,Autumn,AQC 336,Fish Nutrition in Aquaculture,4,
37,3rd,Autumn,FBE 335,Biology of Farmed Shellfish,4,
38,3rd,Autumn,FMG 345,Fish Pharmacology,4,
39,3rd,Winter,AQC 365,Live Food Culture,4,
40,3rd,Winter,AQC 368,Aquaculture Engineering,4,
41,3rd,Winter,AER 361,Rural Sociology,2,
42,3rd,Winter,FIT 369,Fishery Products and by-Products,3,
43,3rd,Winter,FMG 375,Fish Population Dynamics,4,
44,4th,Summer,GEU 401,Career Planning and Development,2,
45,4th,Summer,AQC 408,Fish Feed Technology,4,
46,4th,Summer,FIT 410,Marine Food Chemistry,4,
47,4th,Summer,FBE 415,Aquatic Environment and Pollution,3,
48,4th,Summer,FMG 425,Oceanography and Marine Biology,4,
49,4th,Autumn,AER 432,Fisheries Extension,4,
50,4th,Autumn,AQC 435,Integrated and Organic Aquafarming,3,
51,4th,Autumn,FIT 441,Quality Control of Fishery Products,4,
52,4th,Autumn,FMG 450,Fisheries Management and Conservation,4,
53,4th,Autumn,GFB 450,Fish Biotechnology,4,
54,4th,Winter,FSI 495,Internship,9,
